11
No,Student ID,Fullname,DoB,Class,Gender
1,19127001,Trinh Van Minh,04 01 2020,19APCS1,1
2,19127002,Nguyen Van 2,5 01 2020,19APCS1,1
3,19127003,Nguyen Van 3,6 01 2020,19APCS1,1
4,19127004,Nguyen Van 4,7 01 2020,19APCS1,1
5,19127005,Nguyen Van 5,8 01 2020,19APCS1,1
6,19127006,Nguyen Van 6,9 01 2020,19APCS1,1
7,19127007,Nguyen Van 7,10 01 2020,19APCS1,1
8,19127008,Nguyen Van 8,11 01 2020,19APCS1,1
9,19127009,Nguyen Van 9,12 01 2020,19APCS1,1
10,19127010,Nguyen Van 10,13 01 2020,19APCS1,1
11,19127003,Nguyen Thi 3,6 01 2020,19APCS1,1
